종목명,종목코드
솔루엠,248070
덕양산업,024900
앱클론,174900
제이스코홀딩스,023440
삼성전기,009150
제로투세븐,159580
삼보모터스,053700
코윈테크,282880
유니온머티리얼,047400
신도기연,290520
예스티,122640
인탑스,049070
서플러스글로벌,140070
프로텍,053610
AP시스템,265520
제이엔케이히터,126880
새로닉스,042600
덕산테코피아,317330
솔브레인홀딩스,036830
한화오션,042660
인카금융서비스,211050
엠게임,058630
EG,037370
이구산업,025820
황금에스티,032560
서연,007860
엔켐,348370
화승알앤에이,378850
ISC,095340
월덱스,101160
현우산업,092300
동아화성,041930
DB하이텍,000990
테라사이언스,073640
아모그린텍,125210
한국무브넥스,010100
두산테스나,131970
태경산업,015890
브이티지엠피,018290
이수페타시스,007660
대명에너지,389260
백광산업,001340
F&F홀딩스,007700
GST,083450
유니트론텍,142210
TCC스틸,002710
엑스페릭스,317770
아이패밀리에스씨,114840
와이엠,007530
한창산업,079170
한국주강,025890
휴맥스,115160
알에프세미,096610
삼원강재,023000
제룡산업,147830
현대엘리베이,017800
DSR제강,069730
일신방직,003200
엘오티베큠,083310
오로스테크놀로지,322310
데브시스터즈,194480
파마리서치,214450
하나기술,299030
나라엠앤디,051490
한국콜마,161890
대원미디어,048910
애경케미칼,161000
KG케미칼,001390
티로보틱스,117730
자비스,254120
감성코퍼레이션,036620
유일에너테크,340930
포스코인터내셔널,047050
현대무벡스,319400
태광,023160
테크엘,064520
상신전자,263810
진에어,272450
하이소닉,106080
휴비츠,065510
애경산업,018250
현대제철,004020
오션브릿지,241790
비나텍,126340
에이에프더블류,312610
그린케미칼,083420
엔브이에이치코리아,067570
하이브,352820
제너셈,217190
티에스아이,277880
에스에이티이엔지,351320
바이오톡스텍,086040
율호,072770
KG모빌리티,003620
한올바이오파마,009420
에스앤더블류,103230
이오플로우,294090
이스트소프트,047560
피에스케이,319660
한국수출포장,002200
부방,014470
삼화전자,011230
피엔에이치테크,239890
동국알앤에스,075970
테라젠이텍스,066700
모베이스전자,012860
인성정보,033230
야스,255440
씨티씨바이오,060590
유라테크,048430
삼영,003720
마이크로디지탈,305090
베노홀딩스,206400
서진오토모티브,122690
LS ELECTRIC,010120
현대해상,001450
세종공업,033530
선진뷰티사이언스,086710
토니모리,214420
동일기연,032960
비즈니스온,138580
비츠로테크,042370
에이프로,262260
하이비젼시스템,126700
코스메카코리아,241710
남선알미늄,008350
HDC현대EP,089470
인지컨트롤스,023800
원익피앤이,217820
티에이치엔,019180
알루코,001780
일진전기,103590
브이원텍,251630
피에이치에이,043370
일지테크,019540
화신,010690
디알텍,214680
제이엘케이,322510
디아이씨,092200
인팩,023810
디어유,376300
펌텍코리아,251970
하나마이크론,067310
이녹스첨단소재,272290
우신시스템,017370
롯데케미칼,011170
진시스템,363250
아진산업,013310
디스플레이텍,066670
TJ미디어,032540
덴티스,261200
BGF에코머티리얼즈,126600
한솔테크닉스,004710
TKG휴켐스,069260
피엔티,137400
에스피시스템스,317830
셀트리온제약,068760
삼성전자,005930
넥스틴,348210
이오테크닉스,039030
제주반도체,080220
세진티에스,067770
상신브레이크,041650
메타바이오메드,059210
슈프리마에이치큐,094840
마이크로컨텍솔,098120
테스,095610
LX세미콘,108320
파버나인,177830
두올,016740
한국내화,010040
뉴파워프라즈마,144960
JW중외제약,001060
디오,039840
아이텍,119830
한솔아이원스,114810
엘앤씨바이오,290650
전진바이오팜,110020
SK네트웍스,001740
텔레칩스,054450
CJ씨푸드,011150
와이지엔터테인먼트,122870
디아이,003160
현대공업,170030
소룩스,290690
실리콘투,257720
메지온,140410
에스씨엠생명과학,298060
SJM홀딩스,025530
한라IMS,092460
젬백스,082270
오하임아이엔티,309930
퍼스텍,010820
광전자,017900
켐트로닉스,089010
제이브이엠,054950
러셀,217500
원익IPS,240810
보로노이,310210
아비코전자,036010
유진투자증권,001200
한국전자금융,063570
금호타이어,073240
경창산업,024910
지노믹트리,228760
HPSP,403870
네오오토,212560
지엔씨에너지,119850
서울반도체,046890
엑시콘,092870
크리스탈지노믹스,083790
SK아이이테크놀로지,361610
웨이브일렉트로,095270
대한제당,001790
씨큐브,101240
신성델타테크,065350
LG디스플레이,034220
딥노이드,315640
SFA반도체,036540
유니셈,036200
육일씨엔에쓰,191410
씨에스베어링,297090
한전기술,052690
하이로닉,149980
루닛,328130
하나머티리얼즈,166090
티엘비,356860
한양디지텍,078350
YG PLUS,037270
한화,000880
유진테크,084370
태웅,044490
가온칩스,399720
주성엔지니어링,036930
SJM,123700
KH바텍,060720
엘앤에프,066970
동양이엔피,079960
인텍플러스,064290
하이록코리아,013030
에스트래픽,234300
동진쎄미켐,005290
HDC현대산업개발,294870
인산가,277410
HSD엔진,082740
그래디언트,035080
미래에셋생명,085620
구영테크,053270
액트로,290740
아이크래프트,052460
퓨런티어,370090
디와이파워,210540
디엔에프,092070
피에스케이홀딩스,031980
서남,294630
제이씨현시스템,033320
샘씨엔에스,252990
보라티알,250000
넥스트칩,396270
HD한국조선해양,009540
샘표,007540
에이프릴바이오,397030
디에이테크놀로지,196490
마니커에프앤지,195500
KT서브마린,060370
SK하이닉스,000660
삼성중공업,010140
SK스퀘어,402340
태경케미컬,006890
힘스,238490
노바텍,285490
네오팜,092730
프레스티지바이오로직스,334970
한스바이오메드,042520
바이옵트로,222160
SK바이오팜,326030
피제이메탈,128660
모헨즈,006920
세경하이테크,148150
현대차,005380
원익QnC,074600
지오엘리먼트,311320
비씨엔씨,146320
넥슨게임즈,225570
현대코퍼레이션,011760
가온전선,000500
우양,103840
동화약품,000020
와이아이케이,232140
한세실업,105630
대봉엘에스,078140
LB루셈,376190
바디텍메드,206640
동국홀딩스,001230
OCI홀딩스,010060
디아이티,110990
윌링스,313760
기아,000270
에스와이,109610
명신산업,009900
파이버프로,368770
케이피티유,054410
비트컴퓨터,032850
삼부토건,001470
휴메딕스,200670
경동나비엔,009450
아이센스,099190
오리엔탈정공,014940
HB솔루션,297890
테크윙,089030
KC그린홀딩스,009440
아모센스,357580
오스코텍,039200
DXVX,180400
드림시큐리티,203650
세코닉스,053450
디케이앤디,263020
하이스틸,071090
디케이티,290550
이미지스,115610
시노펙스,025320
동원금속,018500
제이티,089790
포시에스,189690
NE능률,053290
윈하이텍,192390
다산솔루에타,154040
삼일제약,000520
피앤씨테크,237750
대아티아이,045390
해성디에스,195870
제일전기공업,199820
인터플렉스,051370
씨아이테크,004920
덕산하이메탈,077360
레이저쎌,412350
코리아에프티,123410
영원무역,111770
펩트론,087010
우리산업,215360
비투엔,307870
메디아나,041920
금강공업,014280
동성화인텍,033500
웰바이오텍,010600
코드네이처,078940
케이에스피,073010
엠에스씨,009780
에이텍모빌리티,224110
바텍,043150
위드텍,348350
THE MIDONG,161570
태성,323280
에스티아이,039440
한화시스템,272210
이엠텍,091120
포스코스틸리온,058430
디에이피,066900
성우테크론,045300
지니너스,389030
케이엔솔,053080
현대모비스,012330
기산텔레콤,035460
가비아,079940
오상자이엘,053980
